"","gene","Cluster","membership","timepoint","z"
"10101","85462","cluster[genes]~3",0.970118985497998,"d5",0.869832804157585
"10102","85474","cluster[genes]~6",0.998768667563628,"d5",-0.439724097538755
"10103","85480","cluster[genes]~3",0.982103145935458,"d5",1.02262463946124
"10104","85481","cluster[genes]~5",0.823810072369322,"d5",-0.143584332571817
"10105","8549","cluster[genes]~2",0.90485793820317,"d5",0.0677828505289898
"10106","85495","cluster[genes]~6",0.763562440674853,"d5",-0.897454445005785
"10107","85508","cluster[genes]~5",0.907407851805648,"d5",-0.445842667244452
"10108","8553","cluster[genes]~5",0.945821147101085,"d5",-1.00240550220851
"10109","85569","cluster[genes]~2",0.996499695071839,"d5",-0.0817737212641835
"10110","8557","cluster[genes]~3",0.332290963519499,"d5",0.512716096419885
"10111","8560","cluster[genes]~6",0.999097239026509,"d5",-0.595229201115934
"10112","8564","cluster[genes]~3",0.670714334147574,"d5",1.3148332092941
"10113","857","cluster[genes]~6",0.999427175068678,"d5",-0.509398389706392
"10114","8570","cluster[genes]~5",0.786555940448846,"d5",-1.11163618609188
"10115","8572","cluster[genes]~4",0.983102242258127,"d5",-1.0248257179771
"10116","8577","cluster[genes]~3",0.991548758409292,"d5",0.987903948326958
"10117","858","cluster[genes]~6",0.999589626576702,"d5",-0.516502428198813
"10118","859","cluster[genes]~1",0.446199731121116,"d5",1.06134354596116
"10119","860","cluster[genes]~4",0.902980631629407,"d5",-0.762559645410385
"10120","8600","cluster[genes]~3",0.97080244343575,"d5",0.884492742060305
"10121","8604","cluster[genes]~4",0.980141249086495,"d5",-1.02254676956853
"10122","8605","cluster[genes]~6",0.979999443846254,"d5",-0.484064032855231
"10123","8609","cluster[genes]~6",0.99658831215814,"d5",-0.574791349840207
"10124","861","cluster[genes]~6",0.999668036371212,"d5",-0.657868406138726
"10125","8612","cluster[genes]~3",0.852245960455051,"d5",0.757577193659809
"10126","8614","cluster[genes]~4",0.897389627629406,"d5",-0.618975365017981
"10127","8618","cluster[genes]~1",0.866598762234554,"d5",1.11550676394922
"10128","862","cluster[genes]~4",0.795368124924337,"d5",-0.887943850349514
